alg	file	n	outputSize	correct	buildTime	searchTime	memory	dim
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	4.9999999999981e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	4	true	0.001533	4.0000000000005e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	16	true	0.001533	9.9999999999996e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	16	true	0.001533	9.9999999999996e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	15	true	0.001533	9.9999999999996e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	14	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	15	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	5	true	0.001533	5.0000000000015e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	14	true	0.001533	9.9999999999996e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	14	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	16	true	0.001533	9.9999999999996e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	14	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	14	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	5	true	0.001533	5.0000000000015e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	4	true	0.001533	4.9999999999981e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	5	true	0.001533	5.0000000000015e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	16	true	0.001533	9.9999999999996e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	5	true	0.001533	4.9999999999981e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	15	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	5.0000000000015e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	5	true	0.001533	5.0000000000015e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	4	true	0.001533	4.0000000000005e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	4	true	0.001533	4.9999999999981e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	14	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	16	true	0.001533	1.0000000000003e-05	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	7	true	0.001533	5.9999999999991e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	15	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	15	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	5	true	0.001533	5.0000000000015e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	15	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	11	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	6	true	0.001533	4.9999999999981e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	13	true	0.001533	7.9999999999976e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	9.0000000000021e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	10	true	0.001533	6.9999999999966e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	8	true	0.001533	6.0000000000025e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	15	true	0.001533	8.9999999999986e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	12	true	0.001533	8.0000000000011e-06	0.66092491149902	1
rangeTree	n_100_d_1_r_1000_s_100_rs_10.txt	100	9	true	0.001533	7.0000000000001e-06	0.66092491149902	1
